timestamp,temp,humid
1440245705.582, 85.1, 47.0
1440245769.680, 85.1, 46.6
1440245858.195, 85.1, 46.6
1440245945.723, 84.9, 47.0
1440245949.248, 84.9, 47.0
1440246009.326, 84.6, 47.4
1440246097.785, 84.6, 47.0
1440246158.242, 84.7, 47.0
1440246185.767, 84.7, 46.8
1440246246.293, 84.7, 46.6
1440246302.273, 84.7, 46.6
1440246362.252, 84.7, 46.5
1440246425.788, 84.7, 46.6
1440246493.406, 84.7, 46.6
1440246545.932, 84.7, 46.6
1440246605.466, 84.7, 46.6
1440246680.197, 84.6, 46.6
1440246725.734, 84.7, 46.7
1440246793.356, 84.6, 46.6
1440246849.426, 84.6, 46.7
1440246916.596, 84.6, 46.7
1440246966.129, 84.6, 47.0
1440247025.664, 84.6, 46.9
1440247096.822, 84.4, 47.0
1440247142.802, 84.4, 47.2
1440247255.996, 84.4, 47.1
1440247269.185, 84.4, 47.0
1440247329.254, 84.4, 47.1
1440247407.074, 84.2, 47.3
1440247452.695, 84.2, 47.5
1440247502.672, 84.2, 47.6
1440247576.854, 84.0, 47.1
1440247633.483, 83.8, 47.2
1440247682.460, 84.0, 47.3
1440247753.074, 83.8, 47.5
1440247819.794, 83.8, 47.5
1440247869.871, 83.8, 47.7
1440247936.043, 83.7, 47.7
1440247992.667, 83.7, 47.7
1440248049.745, 83.7, 47.9
1440248106.263, 83.7, 47.9
1440248162.237, 83.7, 48.0
1440248222.211, 83.7, 48.1
1440248296.367, 83.5, 48.1
1440248342.340, 83.7, 48.1
1440248405.861, 83.5, 48.0
1440248473.485, 83.5, 48.2
1440248526.007, 83.3, 48.3
1440248581.984, 83.5, 48.5
1440248641.955, 83.3, 48.5
1440248733.857, 83.3, 48.5
1440248762.839, 83.3, 48.6
1440248822.810, 83.1, 48.8
1440248889.880, 83.1, 49.0
1440248952.504, 82.9, 49.1
1440249013.115, 82.9, 49.1
1440249065.644, 83.1, 48.9
1440249126.172, 83.1, 48.9
1440249192.794, 83.1, 48.8
1440249271.144, 83.1, 48.7
1440249302.120, 83.3, 48.7
1440249365.644, 83.1, 48.7
1440249429.836, 83.1, 48.7
1440249486.360, 82.9, 48.8
1440249552.976, 83.1, 48.8
1440249601.954, 83.1, 48.8
1440249676.109, 82.9, 48.9
1440249732.725, 82.9, 48.9
1440249793.337, 82.9, 48.8
1440249842.309, 83.1, 48.8
1440249902.292, 82.9, 48.9
1440249962.270, 82.9, 48.9
1440250029.337, 82.9, 49.0
1440250085.853, 82.9, 49.0
1440250149.926, 82.9, 49.0
1440250201.908, 82.9, 49.0
1440250279.621, 82.9, 49.0
1440250333.236, 82.9, 49.0
1440250382.217, 82.9, 49.0
1440250442.197, 82.9, 49.0
1440250502.180, 82.9, 49.0
1440250583.445, 82.9, 48.9
1440250636.609, 82.9, 48.9
1440250696.775, 82.9, 48.9
1440250749.847, 82.9, 49.0
1440250820.557, 82.8, 49.0
1440250866.088, 82.8, 49.0
1440250936.264, 82.9, 49.0
1440250989.334, 82.9, 49.0
1440251042.307, 82.9, 49.0
1440251109.368, 82.9, 49.0
1440251162.334, 82.9, 49.0
1440251225.863, 82.8, 49.0
1440251281.849, 82.9, 49.0
1440251346.369, 82.9, 49.1
1440251409.444, 82.8, 49.1
1440251465.966, 82.8, 49.2
1440251536.129, 82.9, 49.1
1440251582.103, 82.9, 49.1
1440251659.825, 82.8, 49.3
1440251709.897, 82.9, 49.2
1440251765.424, 82.9, 49.1
1440251822.396, 82.9, 49.2
1440251882.368, 82.9, 49.3
1440251952.977, 82.8, 49.2
1440252009.075, 82.9, 49.2
1440252062.075, 82.9, 49.0
1440252136.261, 82.9, 49.0
1440252203.544, 82.9, 49.2
1440252246.084, 82.9, 49.2
1440252309.173, 82.9, 49.1
1440252362.178, 82.9, 49.1
1440252436.361, 82.9, 49.1
1440252482.352, 82.9, 49.1
1440252542.354, 82.9, 49.2
1440252634.273, 82.9, 49.1
1440252662.257, 82.9, 49.1
1440252732.895, 82.9, 49.2
1440252813.812, 82.9, 49.2
1440252849.885, 82.9, 49.2
1440252905.447, 82.9, 49.1
1440252969.547, 82.9, 49.1
1440253026.216, 82.9, 49.1
1440253103.504, 82.9, 49.1
1440253149.607, 82.9, 49.1
1440253230.995, 82.9, 49.1
1440253265.546, 83.1, 49.0
1440253322.549, 83.1, 49.0
1440253382.552, 83.1, 49.1
1440253442.554, 83.1, 49.1
1440253513.196, 82.9, 49.2
1440253562.188, 83.1, 48.1
1440253643.475, 83.1, 46.8
1440253693.124, 83.1, 46.7
1440253742.132, 83.1, 47.3
1440253823.423, 83.1, 47.0
1440253862.438, 83.1, 47.7
1440253925.986, 83.1, 47.3
1440253981.988, 83.1, 47.3
1440254045.532, 83.1, 47.6
1440254106.089, 83.1, 46.9
1440254162.096, 83.1, 46.5
1440254222.107, 83.1, 45.0
1440254296.285, 82.9, 45.2
1440254374.212, 82.9, 46.6
1440254402.198, 82.9, 45.8
1440254462.204, 82.9, 44.8
1440254522.208, 82.9, 46.0
1440254589.296, 82.9, 45.8
1440254656.487, 82.9, 45.8
1440254702.480, 82.9, 46.4
1440254790.864, 82.9, 45.9
1440254829.965, 82.9, 45.2
1440254885.514, 82.9, 45.9
1440254946.077, 82.9, 45.7
1440255005.626, 82.9, 46.6
1440255062.625, 82.9, 47.2
1440255140.362, 82.9, 47.5
1440255185.917, 82.9, 47.3
1440255245.466, 82.9, 46.4
1440255313.116, 83.1, 45.7
1440255376.315, 83.1, 45.0
1440255422.325, 83.1, 44.7
1440255482.330, 83.1, 44.3
1440255542.344, 82.9, 44.0
1440255602.344, 82.9, 44.3
1440255665.887, 82.8, 45.1
1440255721.894, 82.8, 46.2
1440255781.890, 82.6, 47.5
1440255848.986, 82.6, 47.6
1440255901.989, 82.8, 48.5
1440255961.978, 82.8, 49.9
1440256025.523, 82.8, 49.7
1440256093.163, 82.8, 50.6
1440256152.806, 82.8, 50.9
1440256202.810, 82.8, 50.4
1440256262.810, 82.8, 49.8
1440256364.600, 82.8, 49.3
1440256386.133, 82.8, 49.0
1440256445.667, 82.8, 49.2
1440256527.481, 82.9, 49.0
1440256569.556, 82.9, 48.9
1440256629.762, 82.9, 48.9
1440256682.741, 83.1, 48.8
1440256742.729, 83.1, 48.8
1440256802.712, 83.1, 48.6
1440256862.688, 83.1, 48.1
1440256933.307, 83.3, 48.5
1440256992.935, 83.3, 48.5
1440257041.914, 83.3, 48.5
1440257112.562, 83.3, 48.0
1440257169.657, 83.3, 47.4
1440257222.646, 83.3, 46.7
1440257282.621, 83.5, 46.6
1440257353.241, 83.1, 46.0
1440257405.776, 83.1, 45.3
1440257476.948, 83.1, 45.1
1440257521.933, 83.1, 45.6
1440257585.466, 83.1, 46.5
1440257656.649, 82.9, 47.5
1440257706.178, 82.9, 47.7
1440257762.169, 82.9, 49.5
1440257885.717, 83.1, 50.4
1440257903.430, 83.1, 50.6
1440257949.504, 83.3, 50.9
1440258006.038, 83.3, 50.4
1440258069.118, 83.3, 50.5
1440258175.289, 83.3, 51.2
1440258182.259, 83.3, 51.3
1440258242.234, 83.3, 51.7
1440258302.214, 83.3, 51.6
1440258372.829, 83.3, 52.2
1440258437.003, 83.3, 52.1
1440258489.077, 83.3, 52.0
1440258552.700, 83.3, 51.8
1440258637.265, 83.3, 51.9
1440258687.070, 83.3, 51.7
1440258729.144, 83.3, 51.5
1440258782.122, 83.5, 51.5
1440258852.749, 83.3, 51.8
1440258913.369, 83.3, 51.8
1440258973.001, 83.3, 50.7
1440259025.523, 83.3, 49.1
1440259093.153, 83.5, 47.5
1440259142.137, 83.5, 47.2
1440259212.771, 83.3, 46.9
1440259294.688, 83.3, 47.8
1440259322.672, 83.3, 48.2
1440259393.297, 83.3, 49.4
1440259442.274, 83.3, 49.8
1440259509.362, 83.3, 50.2
1440259565.895, 83.3, 50.7
1440259625.431, 83.3, 51.1
1440259703.680, 83.3, 51.3
1440259746.204, 83.5, 51.2
1440259805.738, 83.5, 51.1
1440259862.734, 83.5, 51.0
1440259951.098, 83.5, 50.7
1440259982.073, 83.7, 50.5
1440260059.790, 83.7, 50.3
1440260109.866, 83.7, 50.0
1440260186.701, 83.7, 49.9
1440260222.805, 83.7, 49.8
1440260304.069, 83.5, 50.3
1440260349.151, 83.3, 50.7
1440260409.220, 83.1, 50.9
1440260462.198, 83.1, 51.0
1440260522.184, 83.3, 51.0
1440260582.160, 83.3, 50.8
1440260652.779, 83.5, 50.5
1440260716.944, 83.5, 50.3
1440260761.926, 83.5, 50.2
1440260821.893, 83.7, 50.1
1440260888.959, 83.7, 50.0
1440260956.130, 83.7, 50.0
1440261030.490, 83.5, 50.0
1440261080.208, 83.7, 49.9
1440261125.734, 83.5, 49.9
1440261182.732, 83.7, 49.9
1440261253.344, 83.7, 49.9
1440261302.314, 83.7, 50.0
1440261372.929, 83.7, 50.0
1440261436.092, 83.7, 49.9
1440261482.064, 83.7, 49.8
1440261545.588, 83.7, 49.9
1440261613.203, 83.7, 49.8
1440261665.724, 83.7, 49.8
